"Name","Family","Series","Form Factor","Launch Date","GPU Architecture","Hardware Raytracing","Lithography","Ray Accelerators","AI Accelerators","Stream Processors","Compute Units","Peak Engine Clock","Peak Half Precision (FP16 Vector) Performance","Peak Single Precision Matrix (FP32) Performance","Peak Single Precision (FP32 Vector) Performance","Peak Double Precision (FP64) Performance","Peak 4-bit Precision (INT4 Matrix) Performance","Peak 8-bit Precision (INT8 Matrix) Performance","Peak Half Precision (FP16 Matrix) Performance with Structured Sparsity","Peak Half Precision (FP16 Matrix) Performance","Peak 8-bit Precision (FP8 Matrix) Performance with Structured Sparsity (E5M2, E4M3)","Peak 8-bit Precision (FP8 Matrix) Performance (E5M2, E4M3)","Peak 4-bit Precision (INT4 Matrix) Performance with Structured Sparsity","Peak 8-bit Precision (INT8 Matrix) Performance with Structured Sparsity","Transistor Count","Solid State Graphics (SSG)","External Power Connectors","Total Board Power (TBP)","Minimum PSU Recommendation","Dedicated Memory Size","Dedicated Memory Type","AMD Infinity Cache Technology","Memory Interface","Memory Clock","Peak Memory Bandwidth","Memory ECC Support","GPU Form Factor","Bus Type","TGP","Cooling","DisplayPort™","HDMI™","DVI","VGA","Other Display Outputs","Display Configurations","HDR Support","8K Support","10K Support","12K Support","Board Height","Board Length","Board Width","10-bit Display Color Output","12-bit Display Color Output","3D Stereo Support","DirectX®","OpenGL®","OpenCL™","Vulkan®","OS Support","Supported Video Formats","Supported Technologies","TPP","TPP Density"
"FirePro™ S7150 (Active Cooling)","FirePro","FirePro S-series","Servers","January 2016","Graphics Core Next (GCN) 3rd Gen","","28nm","","","1792","","","","","","","","","","","","","","","","","1x6-Pin","150W","","8 GB","GDDR5","","","","160 GB/s","No","PCIe® Add-in Card","PCIe® 3.0 x16","","Passive","None","","","","","","","","","","Full Height","9.5"" (241 mm)","Single Slot","","","No","12.0 (feature level 12_0)","4.6","2.0","1.0","","","AMD MxGPU Technology , Unified Video Decoder (UVD) , Video Code Engine (VCE) , DirectX® 12 Technology , OpenGL 4.6 , OpenCL® 2.0","",""
"FirePro™ S7100X","FirePro","FirePro S-series","Servers","May 2016","Graphics Core Next (GCN) 3rd Gen","","28nm","","","1792","","","","","","","","","","","","","","","","","","100W","","8 GB","GDDR5","","","","160 GB/s","No","MXM (Type B)","PCIe® 3.0 x16","","Passive","","","","","","","","","","","","","","","","No","12.0 (feature level 12_0)","4.6","2.0","1.0","","","AMD MxGPU Technology , Unified Video Decoder (UVD) , Video Code Engine (VCE) , DirectX® 12 Technology , OpenGL 4.6 , OpenCL® 2.0","",""
"FirePro™ R5000","FirePro","FirePro R-series","Servers","February 2013","Graphics Core Next (GCN)","","28nm","","","768","","","","","","","","","","","","","","","","","1x6-Pin","150W","","2 GB","GDDR5","","","","102.4 GB/s","No","PCIe® Add-in Card","PCIe® 3.0 x16","","Passive","2x DisplayPort 1.2","","","","Ethernet RJ45","","","","","","Full Height","11.0"" (279 mm)","Single Slot","","","No","12.0 (feature level 12_0)","4.6","2.0","1.0","","","Unified Video Decoder (UVD) , Video Code Engine (VCE) , DirectX® 12 Technology , OpenGL 4.6 , OpenCL® 2.0","",""
"FirePro™ W7170M","FirePro","FirePro Mobility Series","Laptops","","Graphics Core Next (GCN) 3rd Gen","","28nm","","","2048","","","","","2.96 TFLOPs","185 GFLOPs","","","","","","","","","","","","100W","","4 GB","GDDR5","","","","160 GB/s","No","","PCIe® 3.0 x16","","","","","","","","","","","","","","","","Yes","","","","","","","","","DirectX® 12 Technology , OpenCL® 2.0 , OpenGL 4.6 , Unified Video Decoder (UVD) , Video Code Engine (VCE)","",""
"FirePro™ W6150M","FirePro","FirePro Mobility Series","Laptops","","Graphics Core Next (GCN) 2nd Gen","","28nm","","","768","","","","","1.97 TFLOPs","123 GFLOPs","","","","","","","","","","","","100W","","4 GB","GDDR5","","","","88 GB/s","No","","PCIe® 3.0 x16","","","","","","","","","","","","","","","","Yes","","","","","","","","","OpenCL® 2.0 , OpenGL 4.6 , Unified Video Decoder (UVD) , Video Code Engine (VCE)","",""
"FirePro™ W5170M","FirePro","FirePro Mobility Series","Laptops","","Graphics Core Next (GCN)","","28nm","","","640","","","","","1.18 TFLOPs","74 GFLOPs","","","","","","","","","","","","45W","","2 GB","GDDR5","","","","72 GB/s","No","","PCIe® 3.0 x16","","","","","","","","","","","","","","","","Yes","","","","","","","","","DirectX® 12 Technology , OpenCL® 2.0 , OpenGL 4.6 , Unified Video Decoder (UVD) , Video Code Engine (VCE)","",""
"FirePro™ W5130M","FirePro","FirePro Mobility Series","Laptops","","Graphics Core Next (GCN)","","28nm","","","512","","","","","950 GFLOPs","59 GFLOPs","","","","","","","","","","","","35W","","2 GB","GDDR5","","","","64 GB/s","No","","PCIe® 3.0 x16","","","","","","","","","","","","","","","","Yes","","","","","","","","","DirectX® 12 Technology , OpenCL® 2.0 , OpenGL 4.6 , Unified Video Decoder (UVD) , Video Code Engine (VCE)","",""
"FirePro™ W4190M","FirePro","FirePro Mobility Series","Laptops","","Graphics Core Next (GCN)","","28nm","","","384","","","","","630 GFLOPs","40 GFLOPs","","","","","","","","","","","","25W","","2 GB","GDDR5","","","","64 GB/s","No","","PCIe® 3.0 x8","","","","","","","","","","","","","","","","Yes","","","","","","","","","OpenCL® 2.0 , OpenGL 4.6 , Unified Video Decoder (UVD)","",""
"FirePro™ W4170M","FirePro","FirePro Mobility Series","Laptops","","Graphics Core Next (GCN)","","28nm","","","384","","","","","630 GFLOPs","40 GFLOPs","","","","","","","","","","","","25W","","2 GB","GDDR5","","","","64 GB/s","No","","PCIe® 3.0 x8","","","","","","","","","","","","","","","","Yes","","","","","","","","","DirectX® 12 Technology , OpenCL® 2.0 , OpenGL 4.6 , Unified Video Decoder (UVD)","",""

